source_id,layer,layer_name,type,title,org,url,geography,use,reliability,date,note
"BVL-022","2","Báo chí/corpus địa phương","Bài báo corpus","Vinh danh 29 nghệ nhân nghề bếp, nghề bánh, nghề điêu khắc củ, quả","Báo Vĩnh Long","https://baovinhlong.com.vn/xa-hoi/du-lich/202604/vinh-danh-29-nghe-nhan-nghe-bep-nghe-banh-nghe-dieu-khac-cu-qua-98a0e9c/","Vĩnh Long; Bến Tre","Bằng chứng corpus 2026; match=tourism_category; confidence=high","4","2026-04-27","Ngày 27/4, tại TP Cần Thơ, Hiệp hội Du lịch Việt Nam phối hợp Hiệp hội Du lịch ĐBSCL tổ chức lễ vinh danh nghệ nhân nghề bếp, nghề bánh, nghề điêu khắc củ, quả lần II - năm 2026."
"BVL-023","2","Báo chí/corpus địa phương","Bài báo corpus","Phát huy tiềm năng, lợi thế đưa du lịch tỉnh phát triển","Báo Vĩnh Long","https://baovinhlong.com.vn/xa-hoi/du-lich/202604/phat-huy-tiem-nang-loi-the-dua-du-lich-tinh-phat-trien-34f44d2/","Vĩnh Long; Trà Vinh; Bến Tre","Bằng chứng corpus 2026; match=tourism_category; confidence=high","4","2026-04-23","Sau sáp nhập địa giới hành chính, tỉnh mở rộng không gian phát triển, trở thành vùng đất hội tụ độc đáo của ĐBSCL. Trên nền tảng giao thoa giữa các dòng chảy văn hóa miệt vườn sông nước và đồng bào Khmer, cùng với dấu ấn đặc biệt của “vương quốc gốm đỏ” Mang Thít, du lịch tỉnh đang dần định hình bản sắc riêng, hướng đến phát triển bền vững."
"BVL-024","2","Báo chí/corpus địa phương","Bài báo corpus","Phát triển sản phẩm du lịch đặc thù từ làng nghề gạch, gốm","Báo Vĩnh Long","https://baovinhlong.com.vn/phong-su-ky-su/202604/phat-trien-san-pham-du-lich-dac-thu-tu-lang-nghe-gach-gom-7f54c8b/","Vĩnh Long","Bằng chứng corpus 2026; match=direct_title; confidence=high","4","2026-04-22","Việc định hình và phát triển khu lò gạch, gốm Mang Thít được kỳ vọng là điểm nhấn khi những lò gạch cũ được bảo tồn, khoác thêm áo mới, trở thành không gian tham quan và trải nghiệm độc đáo, góp phần đa dạng hóa sản phẩm và tăng sức hút du lịch."
"BVL-025","2","Báo chí/corpus địa phương","Bài báo corpus","Vĩnh Long ban hành Bộ tiêu chí du lịch xanh","Báo Vĩnh Long","https://baovinhlong.com.vn/xa-hoi/du-lich/202604/vinh-long-ban-hanh-bo-tieu-chi-du-lich-xanh-ae52034/","Vĩnh Long; Bến Tre","Bằng chứng corpus 2026; match=tourism_category; confidence=high","4","2026-04-22","Quyết định số 2687/QĐ-UBND ngày 20/4/2026 của UBND tỉnh Vĩnh Long ban hành Bộ tiêu chí du lịch xanh, nhằm cụ thể hóa định hướng phát triển du lịch theo hướng bền vững, thân thiện với môi trường và gắn với bảo tồn giá trị văn hóa địa phương."
"BVL-026","2","Báo chí/corpus địa phương","Bài báo corpus","Vĩnh Long tham gia “Ngày Văn hóa các dân tộc Việt Nam 19/4 năm 2026”","Báo Vĩnh Long","https://baovinhlong.com.vn/van-hoa-giai-tri/202604/vinh-long-tham-gia-ngay-van-hoa-cac-dan-toc-viet-nam-194-nam-2026-80320dc/","Vĩnh Long","Bằng chứng corpus 2026; match=direct_lead; confidence=high","4","2026-04-19","Hoạt động được diễn ra từ ngày 17 - 19/4, tại Làng Văn hóa - Du lịch các dân tộc Việt Nam do Bộ Văn hóa, Thể thao và Du lịch tổ chức."
"BVL-027","2","Báo chí/corpus địa phương","Bài báo corpus","Họp mặt doanh nghiệp du lịch năm 2026","Báo Vĩnh Long","https://baovinhlong.com.vn/thoi-su/202604/nam-2026-nganh-du-lich-tinh-dung-truoc-nhieu-co-hoi-va-thach-thuc-10c2093/","Vĩnh Long; Bến Tre","Bằng chứng corpus 2026; match=direct_title; confidence=high","4","2026-04-18","Sáng 18/4, tại Khách sạn Diamond Stars (phường An Hội), Sở Văn hóa, Thể thao và Du lịch tỉnh Vĩnh Long đã tổ chức họp mặt doanh nghiệp (DN) du lịch năm 2026."
"BVL-028","2","Báo chí/corpus địa phương","Bài báo corpus","Hè sôi động với cánh đồng diều ở Ba Tri","Báo Vĩnh Long","https://baovinhlong.com.vn/van-hoa-giai-tri/202604/he-soi-dong-voi-canh-dong-dieu-o-ba-tri-242433c/","Bến Tre","Bằng chứng corpus 2026; match=direct_lead; confidence=high","4","2026-04-17","Năm 2023, sau khi khảo sát và thực địa, CLB Diều nghệ thuật Bầu Trời Xanh, TP Hồ Chí Minh, đã chọn địa điểm cánh đồng ở ấp Bảo Hòa, xã Ba Tri để tổ chức cuộc thi thả diều nghệ thuật. Hoạt động thu hút đông đảo du khách đến từ các tỉnh, thành trong khu vực đến tham gia."
"BVL-029","2","Báo chí/corpus địa phương","Bài báo corpus","Phó Bí thư Tỉnh ủy, Chủ tịch UBND tỉnh Trần Trí Quang khảo sát thực tế Khu lò gạch, gốm Mang Thít và các điểm du lịch","Báo Vĩnh Long","https://baovinhlong.com.vn/xa-hoi/du-lich/202604/pho-bi-thu-tinh-uy-chu-tich-ubnd-tinh-tran-tri-quang-khao-sat-thuc-te-khu-lo-gach-gom-mang-thit-va-cac-diem-du-lich-3524beb/","Vĩnh Long","Bằng chứng corpus 2026; match=tourism_category; confidence=high","4","2026-04-17","Chiều 17/4, đoàn khảo sát do Phó Bí thư Tỉnh ủy, Chủ tịch UBND tỉnh Trần Trí Quang làm trưởng đoàn cùng các thành viên trong đoàn đã đến khảo sát thực tế Khu lò gạch, gốm Mang Thít (xã Nhơn Phú) và điểm du lịch Nhà dừa Cocohome, Homestay Út Trinh (xã An Bình)."
"BVL-030","2","Báo chí/corpus địa phương","Bài báo corpus","Phú Túc khai thác lợi thế tiềm năng du lịch xanh","Báo Vĩnh Long","https://baovinhlong.com.vn/xa-hoi/du-lich/202604/phu-tuc-khai-thac-loi-the-tiem-nang-du-lich-xanh-24909d2/","Bến Tre","Bằng chứng corpus 2026; match=tourism_category; confidence=high","4","2026-04-16","Nằm tiếp giáp những dòng sông lớn bồi đắp phù sa, xã Phú Túc đã và đang khẳng định vị thế trên bản đồ du lịch với hệ sinh thái đa dạng, giàu bản sắc. Sự ra đời của Chi hội Du lịch xã Phú Túc không chỉ tạo cú hích liên kết mà còn mở ra kỳ vọng đưa du lịch trở thành ngành kinh tế mũi nhọn của địa phương. ​​​​​​​"
"BVL-031","2","Báo chí/corpus địa phương","Bài báo corpus","Bứt phá từ các ngành dịch vụ, tạo động lực tăng trưởng","Báo Vĩnh Long","https://baovinhlong.com.vn/xa-hoi/du-lich/202604/but-pha-tu-cac-nganh-dich-vu-tao-dong-luc-tang-truong-62b4453/","Vĩnh Long; Bến Tre","Bằng chứng corpus 2026; match=tourism_category; confidence=high","4","2026-04-11","Trong bức tranh kinh tế năm 2025 và quý I/2026, tỉnh ghi nhận nhiều tín hiệu tích cực, đặc biệt từ khu vực dịch vụ- lĩnh vực đang dần khẳng định vai trò “đầu kéo” tăng trưởng. Nổi bật trong đó là các ngành dịch vụ ưu tiên như du lịch, logistics- vận tải, công nghệ thông tin, truyền thông và tài chính- ngân hàng, với bước phát triển rõ nét cả về quy mô lẫn chất lượng."
